nombre,anio,posicion,club,pais_club,numero_camiseta,minutos_jugados,goles,imagen
Oscar Ortiz,1978,Mediocampista,River Plate,Argentina,16,323,0,images/1978/oscarortiz.png
Jose Daniel Valencia,1978,Mediocampista,Talleres,Argentina,21,271,0,images/1978/josevalencia.png
Ricardo Villa,1978,Mediocampista,Racing Club,Argentina,22,90,0,images/1978/ricardovilla.png
Norberto Alonso,1978,Mediocampista,River Plate,Argentina,1,89,0,images/1978/norbertoalonso.png
Omar Larrosa,1978,Mediocampista,Independiente,Argentina,12,145,0,images/1978/omarlarrosa.png
Leopoldo Luque,1978,Delantero,River Plate,Argentina,14,480,4,images/1978/leopoldoluque.png
Mario Kempes,1978,Delantero,Valencia CF,España,10,660,6,images/1978/mariokempes.png
Daniel Bertoni,1978,Delantero,Sevilla FC,España,4,478,2,images/1978/danielbertoni.png
René Houseman,1978,Delantero,Huracán,Argentina,9,328,1,images/1978/renehouseman.png
César Luis Menotti,1978,Entrenador,,,,,,images/1978/cesarluismenotti.png
