año,nombre,posicion,club,pais,partidos_jugados,goles,debut_mundialista,cantidad_mundiales,imagen,,
1978,Osvaldo Ardiles,Mediocampista,Huracán,Argentina,6,0,si,2,images/1978/osvaldoardiles.png,,
1978,Américo Gallego,Mediocampista,Newell's Old Boys,Argentina,7,0,si,2,images/1978/americogallego.png,,
1978,Rubén Galván,Mediocampista,Independiente,Argentina,0,0,si,1,images/1978/rubengalvan.png,,
1978,Oscar Ortiz,Mediocampista,River Plate,Argentina,6,0,si,1,images/1978/oscarortiz.png,,
1978,Jose Daniel Valencia,Mediocampista,Talleres,Argentina,4,0,si,2,images/1978/josevalencia.png,,
1978,Ricardo Villa,Mediocampista,Racing Club,Argentina,2,0,si,1,images/1978/ricardovilla.png,,
1978,Norberto Alonso,Mediocampista,River Plate,Argentina,3,0,si,1,images/1978/norbertoalonso.png,,
1978,Omar Larrosa,Mediocampista,Independiente,Argentina,2,0,si,1,images/1978/omarlarrosa.png,,
1978,Leopoldo Luque,Delantero,River Plate,Argentina,5,4,si,1,images/1978/leopoldoluque.png,,
1978,Mario Kempes,Delantero,Valencia CF,España,7,6,no,3,images/1978/mariokempes.png,,
1978,Daniel Bertoni,Delantero,Sevilla FC,España,6,2,si,2,images/1978/danielbertoni.png,,
1978,René Houseman,Delantero,Huracán,Argentina,6,1,no,1,images/1978/renehouseman.png,,
